axis,level,seed,estimator,est,se,target,identity_diff,first_stage_F
sites,2,36,site_meta,0.28792812740153423,0.046696677778846056,0.3,1.1102230246251565e-16,589.0638475533505
sites,2,36,sumstats,0.28889364920263183,0.049516665114204717,0.3,1.1102230246251565e-16,589.0638475533505
sites,2,37,pooled,0.28919616370371054,0.03883536189084652,0.3,1.1102230246251565e-16,831.4532574893726
sites,2,37,fedmr_cf,0.2772147754296411,0.04158227547453679,0.3,1.1102230246251565e-16,831.4532574893726
sites,2,37,site_meta,0.2891208338636531,0.03875243033669646,0.3,1.1102230246251565e-16,831.4532574893726
sites,2,37,sumstats,0.29120338925878536,0.041501044143222005,0.3,1.1102230246251565e-16,831.4532574893726
sites,2,38,pooled,0.2751868117058286,0.03852166642633888,0.3,5.551115123125783e-17,838.6243292583109
sites,2,38,fedmr_cf,0.27478770404276887,0.04075064016079509,0.3,5.551115123125783e-17,838.6243292583109
sites,2,38,site_meta,0.2752012152322409,0.03851947638768315,0.3,5.551115123125783e-17,838.6243292583109
sites,2,38,sumstats,0.27265752449690667,0.040110350040933884,0.3,5.551115123125783e-17,838.6243292583109
sites,2,39,pooled,0.2696453235112978,0.039955384084564054,0.3,5.551115123125783e-17,772.022323130096
sites,2,39,fedmr_cf,0.26268287428669224,0.042714319152461135,0.3,5.551115123125783e-17,772.022323130096
sites,2,39,site_meta,0.26908788873811523,0.04009306044270276,0.3,5.551115123125783e-17,772.022323130096
sites,2,39,sumstats,0.2754901380408164,0.042311108236892304,0.3,5.551115123125783e-17,772.022323130096
sites,2,40,pooled,0.3519962717272583,0.05773650472175238,0.3,1.1102230246251565e-16,359.95989128621426
sites,2,40,fedmr_cf,0.3627857436555685,0.06724019201334326,0.3,1.1102230246251565e-16,359.95989128621426
sites,2,40,site_meta,0.353548369514264,0.05779601913800565,0.3,1.1102230246251565e-16,359.95989128621426
sites,2,40,sumstats,0.35785405870656195,0.06098957960364621,0.3,1.1102230246251565e-16,359.95989128621426
sites,2,41,pooled,0.3172213052071177,0.031218256062163843,0.29999999999999993,1.1102230246251565e-16,1308.883062077145
sites,2,41,fedmr_cf,0.31427766799206663,0.03242920953203934,0.29999999999999993,1.1102230246251565e-16,1308.883062077145
sites,2,41,site_meta,0.31807171428689696,0.031280526101119706,0.29999999999999993,1.1102230246251565e-16,1308.883062077145
sites,2,41,sumstats,0.31744891571659534,0.03254120600824397,0.29999999999999993,1.1102230246251565e-16,1308.883062077145
sites,2,42,pooled,0.4415158081187398,0.06612683994804798,0.3,4.996003610813204e-16,257.48937308010477
sites,2,42,fedmr_cf,0.4295613060125304,0.08277691981507199,0.3,4.996003610813204e-16,257.48937308010477
sites,2,42,site_meta,0.44126004326052104,0.06624114751634384,0.3,4.996003610813204e-16,257.48937308010477
sites,2,42,sumstats,0.4408537763649096,0.06999765773213375,0.3,4.996003610813204e-16,257.48937308010477
sites,2,43,pooled,0.3434534207975757,0.03569250284378788,0.3,2.220446049250313e-16,984.2255398551998
sites,2,43,fedmr_cf,0.33943101843573403,0.03745139350597268,0.3,2.220446049250313e-16,984.2255398551998
sites,2,43,site_meta,0.3432912367340267,0.03570693635737613,0.3,2.220446049250313e-16,984.2255398551998
sites,2,43,sumstats,0.3469858632473318,0.03801404944556437,0.3,2.220446049250313e-16,984.2255398551998
sites,2,44,pooled,0.2999810923121949,0.04020442426509015,0.3,2.220446049250313e-16,743.1360781722765
sites,2,44,fedmr_cf,0.2978019026153641,0.043005179461115935,0.3,2.220446049250313e-16,743.1360781722765
sites,2,44,site_meta,0.3009295762223395,0.04013890459119196,0.3,2.220446049250313e-16,743.1360781722765
sites,2,44,sumstats,0.3005352436514121,0.042189421381413045,0.3,2.220446049250313e-16,743.1360781722765
sites,2,45,pooled,0.39393822986835053,0.04455708559406351,0.3,5.551115123125783e-17,601.5663500913165
sites,2,45,fedmr_cf,0.39457769407992493,0.04783007496653411,0.3,5.551115123125783e-17,601.5663500913165
sites,2,45,site_meta,0.3955142459261616,0.04438644016445352,0.3,5.551115123125783e-17,601.5663500913165
sites,2,45,sumstats,0.39549834715869353,0.04900595090304439,0.3,5.551115123125783e-17,601.5663500913165
sites,2,46,pooled,0.35436566097109284,0.04408493281086752,0.3,2.7755575615628914e-16,569.4205376643338
sites,2,46,fedmr_cf,0.3453220237184154,0.04712848847044741,0.3,2.7755575615628914e-16,569.4205376643338
sites,2,46,site_meta,0.3536681806574658,0.04359165911683121,0.3,2.7755575615628914e-16,569.4205376643338
sites,2,46,sumstats,0.3547502544679598,0.0457756591879011,0.3,2.7755575615628914e-16,569.4205376643338
