site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site04,0,global,3644,912,1.4592137336730957,1.4592137336730957,0.968583643436432,-0.2008880376815796,0.080704962135807
site04,0,local,3644,912,1.160122275352478,1.160122275352478,0.8581739664077759,0.0452550649642944,0.080704962135807
site04,1,global,3644,912,1.1661901473999023,1.1661901473999023,0.8615217804908752,0.0402613878250122,0.080704962135807
site04,1,local,3644,912,1.155105710029602,1.155105710029602,0.8534019589424133,0.049383521080017,0.080704962135807
site04,2,global,3644,912,1.1501247882843018,1.1501247882843018,0.8533265590667725,0.0534826517105102,0.080704962135807
site04,2,local,3644,912,1.1614220142364502,1.1614220142364502,0.8571406602859497,0.0441854000091552,0.080704962135807
site04,3,global,3644,912,1.1479554176330566,1.1479554176330566,0.8513844013214111,0.0552680492401123,0.080704962135807
site04,3,local,3644,912,1.1506869792938232,1.1506869792938232,0.8520291447639465,0.0530200004577636,0.080704962135807
site04,4,global,3644,912,1.1510815620422363,1.1510815620422363,0.8523648977279663,0.0526952743530273,0.080704962135807
site04,4,local,3644,912,1.157947659492493,1.157947659492493,0.8551976680755615,0.0470447540283203,0.080704962135807
site05,0,global,3704,927,1.457763910293579,1.457763910293579,0.9609377384185792,-0.2399568557739257,0.0485916888375729
site05,0,local,3704,927,1.1263104677200315,1.1263104677200315,0.8465967774391174,0.0419734716415405,0.0485916888375729
site05,1,global,3704,927,1.118862271308899,1.118862271308899,0.8440244197845459,0.0483089089393615,0.0485916888375729
site05,1,local,3704,927,1.117781639099121,1.117781639099121,0.8420472145080566,0.049228012561798,0.0485916888375729
site05,2,global,3704,927,1.107501983642578,1.107501983642578,0.838712215423584,0.0579718351364135,0.0485916888375729
site05,2,local,3704,927,1.1159462928771973,1.1159462928771973,0.8395493030548096,0.0507892370223999,0.0485916888375729
site05,3,global,3704,927,1.1048592329025269,1.1048592329025269,0.8375325202941895,0.0602197647094726,0.0485916888375729
site05,3,local,3704,927,1.1090524196624756,1.1090524196624756,0.8385644555091858,0.056653082370758,0.0485916888375729
site05,4,global,3704,927,1.1082686185836792,1.1082686185836792,0.839163064956665,0.0573197603225708,0.0485916888375729
site05,4,local,3704,927,1.106532335281372,1.106532335281372,0.8384048938751221,0.0587965846061706,0.0485916888375729
site06,0,global,4503,1126,1.5505592823028564,1.5505592823028564,1.008875846862793,-0.2053152322769165,0.0426912030400241
site06,0,local,4503,1126,1.251736044883728,1.251736044883728,0.9018873572349548,0.0269727110862731,0.0426912030400241
site06,1,global,4503,1126,1.2440943717956543,1.2440943717956543,0.896794319152832,0.0329129695892334,0.0426912030400241
site06,1,local,4503,1126,1.255490779876709,1.255490779876709,0.9019142985343932,0.0240540504455566,0.0426912030400241
site06,2,global,4503,1126,1.2309008836746216,1.2309008836746216,0.8920867443084717,0.0431688427925109,0.0426912030400241
site06,2,local,4503,1126,1.2436511516571045,1.2436511516571045,0.9012137055397034,0.0332574844360351,0.0426912030400241
site06,3,global,4503,1126,1.2272090911865234,1.2272090911865234,0.8906048536300659,0.0460386276245117,0.0426912030400241
site06,3,local,4503,1126,1.240007400512695,1.240007400512695,0.8990498185157776,0.0360899567604064,0.0426912030400241
site06,4,global,4503,1126,1.2282296419143677,1.2282296419143677,0.8907028436660767,0.0452452898025512,0.0426912030400241
site06,4,local,4503,1126,1.238786697387695,1.238786697387695,0.8983204960823059,0.0370388627052307,0.0426912030400241
site07,0,global,5712,1429,1.2738090753555298,1.2738090753555298,0.9045944809913636,-0.1892473697662353,0.1327346101369241
site07,0,local,5712,1429,1.0504735708236694,1.0504735708236694,0.820084273815155,0.0192620158195495,0.1327346101369241
site07,1,global,5712,1429,1.049854397773743,1.049854397773743,0.8188478946685791,0.019840121269226,0.1327346101369241
site07,1,local,5712,1429,1.0408177375793457,1.0408177375793457,0.8166937828063965,0.0282768011093139,0.1327346101369241
site07,2,global,5712,1429,1.0482178926467896,1.0482178926467896,0.8179118633270264,0.0213679075241088,0.1327346101369241
site07,2,local,5712,1429,1.040949821472168,1.040949821472168,0.8148007988929749,0.0281535387039184,0.1327346101369241
site07,3,global,5712,1429,1.0440537929534912,1.0440537929534912,0.8160903453826904,0.0252556204795837,0.1327346101369241
site07,3,local,5712,1429,1.0439374446868896,1.0439374446868896,0.8159128427505493,0.0253642201423645,0.1327346101369241
site07,4,global,5712,1429,1.043701171875,1.043701171875,0.8157095313072205,0.0255848169326782,0.1327346101369241
site07,4,local,5712,1429,1.0455185174942017,1.0455185174942017,0.8178943395614624,0.0238881111145019,0.1327346101369241
site08,0,global,6523,1631,1.4161776304244995,1.4161776304244995,0.93789142370224,-0.1798542737960815,0.1721204910108354
site08,0,local,6523,1631,1.149821400642395,1.149821400642395,0.8520013689994812,0.042053997516632,0.1721204910108354
site08,1,global,6523,1631,1.16358482837677,1.16358482837677,0.8566328883171082,0.0305873155593872,0.1721204910108354
site08,1,local,6523,1631,1.152601718902588,1.152601718902588,0.8510010838508606,0.0397377014160156,0.1721204910108354
site08,2,global,6523,1631,1.1482739448547363,1.1482739448547363,0.8504226207733154,0.0433432459831237,0.1721204910108354
site08,2,local,6523,1631,1.147571086883545,1.147571086883545,0.8497284650802612,0.0439287424087524,0.1721204910108354
site08,3,global,6523,1631,1.1465452909469604,1.1465452909469604,0.8501275181770325,0.0447834134101867,0.1721204910108354
site08,3,local,6523,1631,1.1473937034606934,1.1473937034606934,0.8502829074859619,0.0440765619277954,0.1721204910108354
site08,4,global,6523,1631,1.149154782295227,1.149154782295227,0.8518317341804504,0.0426093339920043,0.1721204910108354
site08,4,local,6523,1631,1.151628017425537,1.151628017425537,0.853477954864502,0.0405488610267639,0.1721204910108354
