site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2,xhat_sd
site03,2,global,2784,696,1.2662032842636108,1.2662032842636108,0.8986384868621826,0.1036612391471862,0.0630619951046852,0.2924663722515106
site03,2,local,2784,696,1.2487300634384155,1.2487300634384155,0.8948118686676025,0.1160304546356201,0.0630619951046852,0.2924663722515106
site03,3,global,2784,696,1.244124412536621,1.244124412536621,0.8905637860298157,0.1192907691001892,0.0630619951046852,0.2924663722515106
site03,3,local,2784,696,1.2289071083068848,1.2289071083068848,0.884085476398468,0.130062997341156,0.0630619951046852,0.2924663722515106
site03,4,global,2784,696,1.2433098554611206,1.2433098554611206,0.890476644039154,0.1198674440383911,0.0630619951046852,0.2924663722515106
site03,4,local,2784,696,1.240208625793457,1.240208625793457,0.8922104239463806,0.1220627427101135,0.0630619951046852,0.2924663722515106
site03,5,global,2784,696,1.2376753091812134,1.2376753091812134,0.8889037370681763,0.1238560676574707,0.0630619951046852,0.2924663722515106
site04,0,global,3644,912,2.649281740188598,2.649281740188598,1.288966417312622,-0.9263080358505248,0.080704962135807,0.2982235848903656
site04,0,local,3644,912,1.2437241077423096,1.2437241077423096,0.8903697729110718,0.0956810712814331,0.080704962135807,0.2982235848903656
site04,1,global,3644,912,1.2246254682540894,1.2246254682540894,0.883760929107666,0.1095678210258483,0.080704962135807,0.2982235848903656
site04,1,local,3644,912,1.1990633010864258,1.1990633010864258,0.8730977177619934,0.1281541585922241,0.080704962135807,0.2982235848903656
site04,2,global,3644,912,1.2160435914993286,1.2160435914993286,0.8826846480369568,0.1158077120780944,0.080704962135807,0.2982235848903656
site04,2,local,3644,912,1.177025556564331,1.177025556564331,0.8653203248977661,0.1441779732704162,0.080704962135807,0.2982235848903656
site04,3,global,3644,912,1.1842434406280518,1.1842434406280518,0.8689939975738525,0.1389297842979431,0.080704962135807,0.2982235848903656
site04,3,local,3644,912,1.1690552234649658,1.1690552234649658,0.8620384335517883,0.1499732136726379,0.080704962135807,0.2982235848903656
site04,4,global,3644,912,1.1794066429138184,1.1794066429138184,0.8671531081199646,0.1424466371536255,0.080704962135807,0.2982235848903656
site04,4,local,3644,912,1.1634745597839355,1.1634745597839355,0.858985960483551,0.1540309786796569,0.080704962135807,0.2982235848903656
site04,5,global,3644,912,1.1714738607406616,1.1714738607406616,0.8630617260932922,0.1482146382331848,0.080704962135807,0.2982235848903656
site05,0,global,3704,927,2.612008810043335,2.612008810043335,1.266577124595642,-0.9500656127929688,0.048591688837573,0.2728365957736969
site05,0,local,3704,927,1.2243369817733765,1.2243369817733765,0.8831279873847961,0.0859383344650268,0.048591688837573,0.2728365957736969
site05,1,global,3704,927,1.186472773551941,1.186472773551941,0.86664217710495,0.114206850528717,0.048591688837573,0.2728365957736969
site05,1,local,3704,927,1.1671842336654663,1.1671842336654663,0.8578641414642334,0.1286072134971618,0.048591688837573,0.2728365957736969
site05,2,global,3704,927,1.1824220418930054,1.1824220418930054,0.865689754486084,0.117231011390686,0.048591688837573,0.2728365957736969
site05,2,local,3704,927,1.148051142692566,1.148051142692566,0.8508444428443909,0.142891526222229,0.048591688837573,0.2728365957736969
site05,3,global,3704,927,1.1503076553344729,1.1503076553344729,0.8539806008338928,0.1412068605422973,0.048591688837573,0.2728365957736969
site05,3,local,3704,927,1.136506199836731,1.136506199836731,0.8475827574729919,0.1515107154846191,0.048591688837573,0.2728365957736969
site05,4,global,3704,927,1.145293116569519,1.145293116569519,0.8521880507469177,0.1449505686759948,0.048591688837573,0.2728365957736969
site05,4,local,3704,927,1.127582550048828,1.127582550048828,0.8431627154350281,0.1581729054450988,0.048591688837573,0.2728365957736969
site05,5,global,3704,927,1.1354938745498655,1.1354938745498655,0.8485755324363708,0.1522665023803711,0.048591688837573,0.2728365957736969
site06,0,global,4503,1126,2.721052646636963,2.721052646636963,1.3098183870315552,-0.8824701309204102,0.0426912030400241,0.2053330838680267
