site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site02,4,local,1888,473,1.2121796607971191,1.2121796607971191,0.8766708970069885,-0.0052952766418457,0.092725156891254
site03,0,global,2784,696,1.3077268600463867,1.3077268600463867,0.9150711297988892,-0.0411217212677001,0.063061995104685
site03,0,local,2784,696,1.259524703025818,1.259524703025818,0.8934396505355835,-0.00274658203125,0.063061995104685
site03,1,global,2784,696,1.2575875520706177,1.2575875520706177,0.8923743963241577,-0.0012043714523315,0.063061995104685
site03,1,local,2784,696,1.259295105934143,1.259295105934143,0.8932651877403259,-0.0025637149810791,0.063061995104685
site03,2,global,2784,696,1.2567259073257446,1.2567259073257446,0.8917366862297058,-0.0005183219909667,0.063061995104685
site03,2,local,2784,696,1.2596197128295898,1.2596197128295898,0.8934400081634521,-0.0028221607208251,0.063061995104685
site03,3,global,2784,696,1.2572389841079712,1.2572389841079712,0.8920928835868835,-0.0009268522262573,0.063061995104685
site03,3,local,2784,696,1.259275197982788,1.259275197982788,0.8932547569274902,-0.0025479793548583,0.063061995104685
site03,4,global,2784,696,1.257205843925476,1.257205843925476,0.8920717835426331,-0.000900387763977,0.063061995104685
site03,4,local,2784,696,1.259474515914917,1.259474515914917,0.8933600783348083,-0.0027065277099609,0.063061995104685
site04,0,global,3644,912,1.2693347930908203,1.2693347930908203,0.901853322982788,-0.0446234941482543,0.080704962135807
site04,0,local,3644,912,1.2203269004821775,1.2203269004821775,0.8789154291152954,-0.0042915344238281,0.080704962135807
site04,1,global,3644,912,1.2169710397720337,1.2169710397720337,0.8768802881240845,-0.0015296936035156,0.080704962135807
site04,1,local,3644,912,1.2151678800582886,1.2151678800582886,0.8742921948432922,-4.57763671875e-05,0.080704962135807
site04,2,global,3644,912,1.216161847114563,1.216161847114563,0.8759226202964783,-0.0008637905120849,0.080704962135807
site04,2,local,3644,912,1.2175288200378418,1.2175288200378418,0.8769662380218506,-0.0019887685775756,0.080704962135807
site04,3,global,3644,912,1.216793417930603,1.216793417930603,0.8764116764068604,-0.0013835430145263,0.080704962135807
site04,3,local,3644,912,1.2166625261306765,1.2166625261306765,0.876312255859375,-0.0012757778167724,0.080704962135807
site04,4,global,3644,912,1.2167534828186035,1.2167534828186035,0.8763805031776428,-0.0013507604598999,0.080704962135807
site04,4,local,3644,912,1.2168108224868774,1.2168108224868774,0.8764251470565796,-0.0013978481292724,0.080704962135807
site05,0,global,3704,927,1.211943507194519,1.211943507194519,0.8759394884109497,-0.0308649539947509,0.0485916888375729
site05,0,local,3704,927,1.1824783086776731,1.1824783086776731,0.8653859496116638,-0.0058021545410156,0.0485916888375729
site05,1,global,3704,927,1.1755839586257937,1.1755839586257937,0.8616519570350647,6.204843521118164e-05,0.0485916888375729
site05,1,local,3704,927,1.1756644248962402,1.1756644248962402,0.8616224527359009,-6.437301635742188e-06,0.0485916888375729
site05,2,global,3704,927,1.1757936477661133,1.1757936477661133,0.8613771200180054,-0.000116229057312,0.0485916888375729
site05,2,local,3704,927,1.175884246826172,1.175884246826172,0.8613283634185791,-0.0001933574676513,0.0485916888375729
site05,3,global,3704,927,1.1756664514541626,1.1756664514541626,0.8615322113037109,-8.106231689453125e-06,0.0485916888375729
site05,3,local,3704,927,1.1756590604782104,1.1756590604782104,0.8616294264793396,-1.7881393432617188e-06,0.0485916888375729
site05,4,global,3704,927,1.1756696701049805,1.1756696701049805,0.8615221977233887,-1.0848045349121094e-05,0.0485916888375729
site05,4,local,3704,927,1.1757549047470093,1.1757549047470093,0.8614062070846558,-8.33272933959961e-05,0.0485916888375729
site06,0,global,4503,1126,1.327226996421814,1.327226996421814,0.9207711815834044,-0.0317095518112182,0.0426912030400241
