site,round,stage,n_train,n_test,loss,accuracy,precision,recall,f1,auc,fs_r2,xhat_sd
site07,4,global,5712,1429,0.6095442771911621,0.6948915325402379,0.4727272727272727,0.0600461893764434,0.1065573770491803,0.5652587254329096,0.1135219782439602,0.3754430115222931
site07,4,local,5712,1429,0.6123368144035339,0.6962911126662001,0.4893617021276595,0.0531177829099307,0.0958333333333333,0.566021592142241,0.1135219782439602,0.3754430115222931
site07,5,global,5712,1429,0.6106327176094055,0.6948915325402379,0.4727272727272727,0.0600461893764434,0.1065573770491803,0.5652703191518962,0.1135219782439602,0.3754430115222931
site08,0,global,6523,1631,0.6593302488327026,0.6995708154506438,0.0,0.0,0.0,0.575309878552648,0.1725264147713616,0.4422124624252319
site08,0,local,6523,1631,0.6038473844528198,0.69773145309626,0.4705882352941176,0.0489795918367346,0.088724584103512,0.5773560607415622,0.1725264147713616,0.4422124624252319
site08,1,global,6523,1631,0.6008926630020142,0.6995708154506438,0.5,0.036734693877551,0.0684410646387832,0.5801391546978125,0.1725264147713616,0.4422124624252319
site08,1,local,6523,1631,0.6023942232131958,0.6958920907418762,0.4615384615384615,0.073469387755102,0.1267605633802817,0.5814797259832942,0.1725264147713616,0.4422124624252319
site08,2,global,6523,1631,0.6009300351142883,0.7001839362354384,0.5087719298245614,0.0591836734693877,0.1060329067641681,0.5809994812999696,0.1725264147713616,0.4422124624252319
site08,2,local,6523,1631,0.6021570563316345,0.6971183323114654,0.4807692307692308,0.1020408163265306,0.1683501683501683,0.5808277737036971,0.1725264147713616,0.4422124624252319
site08,3,global,6523,1631,0.6004235148429871,0.6983445738810545,0.4736842105263157,0.036734693877551,0.0681818181818181,0.5857733102005044,0.1725264147713616,0.4422124624252319
site08,3,local,6523,1631,0.6021906137466431,0.7001839362354384,0.5053763440860215,0.0959183673469387,0.1612349914236706,0.5858922534833391,0.1725264147713616,0.4422124624252319
site08,4,global,6523,1631,0.6008262038230896,0.700797057020233,0.5172413793103449,0.0612244897959183,0.1094890510948905,0.5823999713820673,0.1725264147713616,0.4422124624252319
site08,4,local,6523,1631,0.6042191982269287,0.6965052115266708,0.4657534246575342,0.0693877551020408,0.1207815275310834,0.5812302133824607,0.1725264147713616,0.4422124624252319
