site,round,stage,n_train,n_test,loss,mse,mae,r2
site05,3,global,3704,927,1.1063891649246216,1.1063891649246216,0.8380379676818848,0.1418433189392089
site05,3,local,3704,927,1.1122459173202517,1.1122459173202517,0.8392256498336792,0.1373006105422973
site05,4,global,3704,927,1.111077904701233,1.111077904701233,0.8401021361351013,0.1382066011428833
site05,4,local,3704,927,1.11722993850708,1.11722993850708,0.8425202369689941,0.1334348917007446
site06,0,global,4503,1126,1.4415125846862793,1.4415125846862793,0.9766477346420288,-0.0388755798339843
site06,0,local,4503,1126,1.240471124649048,1.240471124649048,0.9010668992996216,0.1060118675231933
site06,1,global,4503,1126,1.2296746969223022,1.2296746969223022,0.8931260108947754,0.1137926578521728
site06,1,local,4503,1126,1.2401374578475952,1.2401374578475952,0.8972675800323486,0.1062523126602172
site06,2,global,4503,1126,1.2252272367477417,1.2252272367477417,0.8920297026634216,0.1169978976249694
site06,2,local,4503,1126,1.2404731512069702,1.2404731512069702,0.9013160467147828,0.1060104370117187
site06,3,global,4503,1126,1.225933313369751,1.225933313369751,0.8911877870559692,0.1164890527725219
site06,3,local,4503,1126,1.233729600906372,1.233729600906372,0.8958267569541931,0.110870361328125
site06,4,global,4503,1126,1.2284936904907229,1.2284936904907229,0.8919517397880554,0.1146437525749206
site06,4,local,4503,1126,1.2359596490859983,1.2359596490859983,0.8973111510276794,0.1092631816864013
site07,0,global,5712,1429,1.2193949222564695,1.2193949222564695,0.8858512043952942,-0.0607740879058837
site07,0,local,5712,1429,1.0503524541854858,1.0503524541854858,0.8200229406356812,0.0862791538238525
site07,1,global,5712,1429,1.0394577980041504,1.0394577980041504,0.815581738948822,0.0957565903663635
site07,1,local,5712,1429,1.0409598350524902,1.0409598350524902,0.8161017894744873,0.0944499373435974
site07,2,global,5712,1429,1.0446189641952517,1.0446189641952517,0.8174766302108765,0.0912667512893676
site07,2,local,5712,1429,1.0407592058181765,1.0407592058181765,0.8158921599388123,0.0946244597434997
site07,3,global,5712,1429,1.0450732707977295,1.0450732707977295,0.8174198269844055,0.0908715724945068
site07,3,local,5712,1429,1.0410326719284058,1.0410326719284058,0.8161157369613647,0.0943865180015564
site07,4,global,5712,1429,1.0413836240768433,1.0413836240768433,0.8162236213684082,0.0940812230110168
site07,4,local,5712,1429,1.042919397354126,1.042919397354126,0.816941499710083,0.092745304107666
site08,0,global,6523,1631,1.350872039794922,1.350872039794922,0.9185115098953248,-0.0391539335250854
site08,0,local,6523,1631,1.1431195735931396,1.1431195735931396,0.8488385081291199,0.1206589937210083
site08,1,global,6523,1631,1.1509848833084106,1.1509848833084106,0.8519063591957092,0.1146085858345031
site08,1,local,6523,1631,1.1636357307434082,1.1636357307434082,0.8571376800537109,0.1048769354820251
site08,2,global,6523,1631,1.1447147130966189,1.1447147130966189,0.8485007882118225,0.1194318532943725
site08,2,local,6523,1631,1.1482421159744265,1.1482421159744265,0.8495176434516907,0.1167184114456176
site08,3,global,6523,1631,1.1445006132125854,1.1445006132125854,0.8487943410873413,0.1195965409278869
site08,3,local,6523,1631,1.1469520330429075,1.1469520330429075,0.8502826690673828,0.1177108883857727
site08,4,global,6523,1631,1.1465370655059814,1.1465370655059814,0.8502431511878967,0.1180300712585449
site08,4,local,6523,1631,1.14691424369812,1.14691424369812,0.8510583639144897,0.1177399158477783
site09,0,global,6739,1685,1.2238630056381226,1.2238630056381226,0.8784546256065369,-0.0417293310165405
site09,0,local,6739,1685,1.1018316745758057,1.1018316745758057,0.8307684063911438,0.062141478061676
site09,1,global,6739,1685,1.0898783206939695,1.0898783206939695,0.8259525299072266,0.0723159313201904
site09,1,local,6739,1685,1.1107065677642822,1.1107065677642822,0.8345661163330078,0.0545873641967773
site09,2,global,6739,1685,1.090282678604126,1.090282678604126,0.8263325691223145,0.0719718337059021
site09,2,local,6739,1685,1.094374656677246,1.094374656677246,0.8277772665023804,0.0684888362884521
site09,3,global,6739,1685,1.0931181907653809,1.0931181907653809,0.8272650837898254,0.0695582628250122
site09,3,local,6739,1685,1.0954796075820925,1.0954796075820925,0.8281188607215881,0.0675483345985412
site09,4,global,6739,1685,1.0923086404800415,1.0923086404800415,0.8269194960594177,0.0702473521232605
site09,4,local,6739,1685,1.0953961610794067,1.0953961610794067,0.8280273675918579,0.0676192641258239
site10,0,global,7504,1876,1.202864646911621,1.202864646911621,0.8630839586257935,-0.0693869590759277
site10,0,local,7504,1876,0.9918909668922424,0.9918909668922424,0.790826678276062,0.1181756854057312
site10,1,global,7504,1876,0.9863889813423156,0.9863889813423156,0.7881157398223877,0.1230672001838684
site10,1,local,7504,1876,0.9887437224388124,0.9887437224388124,0.7896849513053894,0.1209737658500671
site10,2,global,7504,1876,0.9881414771080016,0.9881414771080016,0.7888001799583435,0.1215091347694397
site10,2,local,7504,1876,0.9886202812194824,0.9886202812194824,0.7896409630775452,0.1210834980010986
site10,3,global,7504,1876,0.988261580467224,0.988261580467224,0.7893646955490112,0.1214023232460022
site10,3,local,7504,1876,0.9890761375427246,0.9890761375427246,0.7901706099510193,0.1206781864166259
site10,4,global,7504,1876,0.9854746460914612,0.9854746460914612,0.788223922252655,0.1238800287246704
site10,4,local,7504,1876,1.0142580270767212,1.0142580270767212,0.7992064356803894,0.0982906222343444
