site,round,stage,n_train,n_test,loss,c_index,events,fs_r2
site08,2,global,6523,1631,6.507017612457275,0.6079561171770907,988.0,0.1981097044487592
site08,2,local,6523,1631,6.500546932220459,0.6108395211157698,988.0,0.1981097044487592
site08,3,global,6523,1631,6.502553939819336,0.6097040373694949,988.0,0.1981097044487592
site08,3,local,6523,1631,6.498105525970459,0.6111390955509572,988.0,0.1981097044487592
site08,4,global,6523,1631,6.499654769897461,0.6104336460745481,988.0,0.1981097044487592
site08,4,local,6523,1631,6.49670934677124,0.6113553206473223,988.0,0.1981097044487592
site09,0,global,6739,1685,6.828906059265137,0.4056048978569639,1031.0,0.0389970058436399
site09,0,local,6739,1685,6.56554126739502,0.599128832599907,1031.0,0.0389970058436399
site09,1,global,6739,1685,6.566081523895264,0.6004380433615971,1031.0,0.0389970058436399
site09,1,local,6739,1685,6.565853118896484,0.6007332027476655,1031.0,0.0389970058436399
site09,2,global,6739,1685,6.565235614776611,0.6003295946477765,1031.0,0.0389970058436399
site09,2,local,6739,1685,6.564277172088623,0.6005084791241816,1031.0,0.0389970058436399
site09,3,global,6739,1685,6.565521717071533,0.6008696021609244,1031.0,0.0389970058436399
site09,3,local,6739,1685,6.563366889953613,0.6010194179099138,1031.0,0.0389970058436399
site09,4,global,6739,1685,6.564174652099609,0.6011804139386784,1031.0,0.0389970058436399
site09,4,local,6739,1685,6.564555644989014,0.6011960663303638,1031.0,0.0389970058436399
site10,0,global,7504,1876,6.8911452293396,0.4165901680858472,1131.0,0.0695023061391355
site10,0,local,7504,1876,6.6543869972229,0.5844535022074419,1131.0,0.0695023061391355
site10,1,global,7504,1876,6.656318187713623,0.5843008153848732,1131.0,0.0695023061391355
site10,1,local,7504,1876,6.652551174163818,0.5829592195841332,1131.0,0.0695023061391355
site10,2,global,7504,1876,6.654045581817627,0.5852746593873535,1131.0,0.0695023061391355
site10,2,local,7504,1876,6.64903736114502,0.5865929797578238,1131.0,0.0695023061391355
site10,3,global,7504,1876,6.653063774108887,0.5863006403536376,1131.0,0.0695023061391355
site10,3,local,7504,1876,6.648935794830322,0.5873368625092403,1131.0,0.0695023061391355
site10,4,global,7504,1876,6.65071439743042,0.5868192169400444,1131.0,0.0695023061391355
site10,4,local,7504,1876,6.648820877075195,0.5875128247620786,1131.0,0.0695023061391355
