site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site02,4,global,1888,473,1.1347498893737793,1.1347498893737793,0.8467145562171936,0.0879707336425781,0.092725156891254
site02,4,local,1888,473,1.1283810138702393,1.1283810138702393,0.8457730412483215,0.0930895209312439,0.092725156891254
site03,0,global,2784,696,1.7077409029006958,1.7077409029006958,1.0603723526000977,-0.27576744556427,0.063061995104685
site03,0,local,2784,696,1.2233667373657229,1.2233667373657229,0.884054958820343,0.0860841274261474,0.063061995104685
site03,1,global,2784,696,1.234249234199524,1.234249234199524,0.890367329120636,0.077954351902008,0.063061995104685
site03,1,local,2784,696,1.237308382987976,1.237308382987976,0.8925586342811584,0.0756690502166748,0.063061995104685
site03,2,global,2784,696,1.2339541912078855,1.2339541912078855,0.8906258940696716,0.0781747102737426,0.063061995104685
site03,2,local,2784,696,1.242888569831848,1.242888569831848,0.8945021629333496,0.0715003609657287,0.063061995104685
site03,3,global,2784,696,1.2359081506729126,1.2359081506729126,0.8920007348060608,0.0767150521278381,0.063061995104685
site03,3,local,2784,696,1.240894794464111,1.240894794464111,0.8927351832389832,0.0729897618293762,0.063061995104685
site03,4,global,2784,696,1.2385238409042358,1.2385238409042358,0.8930236101150513,0.0747610330581665,0.063061995104685
site03,4,local,2784,696,1.2492772340774536,1.2492772340774536,0.8966313600540161,0.0667276978492736,0.063061995104685
site04,0,global,3644,912,1.650508165359497,1.650508165359497,1.0407713651657104,-0.3278982639312744,0.080704962135807
site04,0,local,3644,912,1.1516560316085815,1.1516560316085815,0.8539468050003052,0.0734477639198303,0.080704962135807
site04,1,global,3644,912,1.153084635734558,1.153084635734558,0.8539913892745972,0.0722984075546264,0.080704962135807
site04,1,local,3644,912,1.1520233154296875,1.1520233154296875,0.8520939946174622,0.0731522440910339,0.080704962135807
site04,2,global,3644,912,1.1434706449508667,1.1434706449508667,0.848715603351593,0.0800332427024841,0.080704962135807
site04,2,local,3644,912,1.1556777954101562,1.1556777954101562,0.8551061153411865,0.0702120661735534,0.080704962135807
site04,3,global,3644,912,1.143240451812744,1.143240451812744,0.8485548496246338,0.0802184343338012,0.080704962135807
site04,3,local,3644,912,1.14413321018219,1.14413321018219,0.8488825559616089,0.0795001983642578,0.080704962135807
