site,round,stage,n_train,n_test,loss,accuracy,precision,recall,f1,auc,fs_r2
site04,3,global,3644,912,0.607881486415863,0.7017543859649122,0.0,0.0,0.0,0.5418543198529412,0.0769074657444776
site04,3,local,3644,912,0.6082830429077148,0.7017543859649122,0.0,0.0,0.0,0.5418543198529412,0.0769074657444776
site04,4,global,3644,912,0.6081001162528992,0.7017543859649122,0.0,0.0,0.0,0.5418543198529412,0.0769074657444776
site04,4,local,3644,912,0.6079214811325073,0.7017543859649122,0.0,0.0,0.0,0.5418543198529412,0.0769074657444776
site05,0,global,3704,927,0.6599901914596558,0.7076591154261057,0.0,0.0,0.0,0.5113710512105121,0.0626080641910074
site05,0,local,3704,927,0.6073172092437744,0.7076591154261057,0.0,0.0,0.0,0.511669179191792,0.0626080641910074
site05,1,global,3704,927,0.6038333773612976,0.7076591154261057,0.0,0.0,0.0,0.511669179191792,0.0626080641910074
site05,1,local,3704,927,0.6059347987174988,0.7076591154261057,0.0,0.0,0.0,0.511669179191792,0.0626080641910074
site05,2,global,3704,927,0.6038239002227783,0.7076591154261057,0.0,0.0,0.0,0.511669179191792,0.0626080641910074
site05,2,local,3704,927,0.603518009185791,0.7076591154261057,0.0,0.0,0.0,0.5116719917199173,0.0626080641910074
site05,3,global,3704,927,0.603786826133728,0.7076591154261057,0.0,0.0,0.0,0.511669179191792,0.0626080641910074
site05,3,local,3704,927,0.6037508845329285,0.7076591154261057,0.0,0.0,0.0,0.511669179191792,0.0626080641910074
site05,4,global,3704,927,0.6039184331893921,0.7076591154261057,0.0,0.0,0.0,0.5116719917199173,0.0626080641910074
site05,4,local,3704,927,0.6046574711799622,0.7076591154261057,0.0,0.0,0.0,0.511669179191792,0.0626080641910074
site06,0,global,4503,1126,0.6626068949699402,0.69449378330373,0.0,0.0,0.0,0.5193767471599358,0.0445922448009395
site06,0,local,4503,1126,0.6158083081245422,0.69449378330373,0.0,0.0,0.0,0.5193786058407185,0.0445922448009395
site06,1,global,4503,1126,0.6150886416435242,0.69449378330373,0.0,0.0,0.0,0.5193786058407185,0.0445922448009395
site06,1,local,4503,1126,0.6172029972076416,0.69449378330373,0.0,0.0,0.0,0.5193786058407185,0.0445922448009395
site06,2,global,4503,1126,0.6150689721107483,0.69449378330373,0.0,0.0,0.0,0.5193786058407185,0.0445922448009395
site06,2,local,4503,1126,0.615047812461853,0.69449378330373,0.0,0.0,0.0,0.5193786058407185,0.0445922448009395
site06,3,global,4503,1126,0.6150821447372437,0.69449378330373,0.0,0.0,0.0,0.5193786058407185,0.0445922448009395
site06,3,local,4503,1126,0.6153388023376465,0.69449378330373,0.0,0.0,0.0,0.5193786058407185,0.0445922448009395
site06,4,global,4503,1126,0.6150711178779602,0.69449378330373,0.0,0.0,0.0,0.5193786058407185,0.0445922448009395
site06,4,local,4503,1126,0.6150236129760742,0.69449378330373,0.0,0.0,0.0,0.5193786058407185,0.0445922448009395
site07,0,global,5712,1429,0.6633597016334534,0.6969909027291813,0.0,0.0,0.0,0.4825468154372687,0.1135219782439602
site07,0,local,5712,1429,0.6164525747299194,0.6969909027291813,0.0,0.0,0.0,0.4832111355352124,0.1135219782439602
site07,1,global,5712,1429,0.615287721157074,0.6969909027291813,0.0,0.0,0.0,0.4832099761633137,0.1135219782439602
site07,1,local,5712,1429,0.6164411902427673,0.6969909027291813,0.0,0.0,0.0,0.4832099761633137,0.1135219782439602
site07,2,global,5712,1429,0.6153624057769775,0.6969909027291813,0.0,0.0,0.0,0.4832099761633137,0.1135219782439602
site07,2,local,5712,1429,0.6175149083137512,0.6969909027291813,0.0,0.0,0.0,0.4832099761633137,0.1135219782439602
site07,3,global,5712,1429,0.6153696179389954,0.6969909027291813,0.0,0.0,0.0,0.4832111355352124,0.1135219782439602
site07,3,local,5712,1429,0.6161032319068909,0.6969909027291813,0.0,0.0,0.0,0.4832099761633137,0.1135219782439602
site07,4,global,5712,1429,0.6151869893074036,0.6969909027291813,0.0,0.0,0.0,0.4832099761633137,0.1135219782439602
site07,4,local,5712,1429,0.6168989539146423,0.6969909027291813,0.0,0.0,0.0,0.4832111355352124,0.1135219782439602
site08,0,global,6523,1631,0.6620140075683594,0.6995708154506438,0.0,0.0,0.0,0.5140388846160726,0.1725264147713616
site08,0,local,6523,1631,0.611653745174408,0.6995708154506438,0.0,0.0,0.0,0.5130533545583,0.1725264147713616
site08,1,global,6523,1631,0.6113553047180176,0.6995708154506438,0.0,0.0,0.0,0.5131195335276968,0.1725264147713616
site08,1,local,6523,1631,0.6126759052276611,0.6995708154506438,0.0,0.0,0.0,0.5127063621241661,0.1725264147713616
site08,2,global,6523,1631,0.6113131046295166,0.6995708154506438,0.0,0.0,0.0,0.5131195335276968,0.1725264147713616
site08,2,local,6523,1631,0.6120666265487671,0.6995708154506438,0.0,0.0,0.0,0.5129138421363286,0.1725264147713616
site08,3,global,6523,1631,0.6112761497497559,0.6995708154506438,0.0,0.0,0.0,0.5131195335276968,0.1725264147713616
site08,3,local,6523,1631,0.6123557090759277,0.6995708154506438,0.0,0.0,0.0,0.5130873383533956,0.1725264147713616
site08,4,global,6523,1631,0.6111477613449097,0.6995708154506438,0.0,0.0,0.0,0.5131195335276968,0.1725264147713616
site08,4,local,6523,1631,0.6119726896286011,0.6995708154506438,0.0,0.0,0.0,0.5130891269741902,0.1725264147713616
site09,0,global,6739,1685,0.6616578698158264,0.6985163204747774,0.0,0.0,0.0,0.5041134540637815,0.0479071210831048
site09,0,local,6739,1685,0.6120847463607788,0.6985163204747774,0.0,0.0,0.0,0.5033708748386061,0.0479071210831048
site09,1,global,6739,1685,0.6120001077651978,0.6985163204747774,0.0,0.0,0.0,0.5041126178259153,0.0479071210831048
site09,1,local,6739,1685,0.6120885014533997,0.6985163204747774,0.0,0.0,0.0,0.5041117815880491,0.0479071210831048
site09,2,global,6739,1685,0.6119993329048157,0.6985163204747774,0.0,0.0,0.0,0.5041126178259153,0.0479071210831048
site09,2,local,6739,1685,0.6121879816055298,0.6985163204747774,0.0,0.0,0.0,0.5041134540637815,0.0479071210831048
site09,3,global,6739,1685,0.612001895904541,0.6985163204747774,0.0,0.0,0.0,0.5041126178259153,0.0479071210831048
site09,3,local,6739,1685,0.6121485233306885,0.6985163204747774,0.0,0.0,0.0,0.5041126178259153,0.0479071210831048
site09,4,global,6739,1685,0.6119962930679321,0.6985163204747774,0.0,0.0,0.0,0.5041126178259153,0.0479071210831048
site09,4,local,6739,1685,0.6131928563117981,0.6985163204747774,0.0,0.0,0.0,0.5041126178259153,0.0479071210831048
site10,0,global,7504,1876,0.6623026728630066,0.6950959488272921,0.0,0.0,0.0,0.5201142798918873,0.0732112319789289
site10,0,local,7504,1876,0.6145840287208557,0.6950959488272921,0.0,0.0,0.0,0.5207014994208246,0.0732112319789289
site10,1,global,7504,1876,0.6143930554389954,0.6950959488272921,0.0,0.0,0.0,0.5207014994208246,0.0732112319789289
site10,1,local,7504,1876,0.6143697500228882,0.6950959488272921,0.0,0.0,0.0,0.5207014994208246,0.0732112319789289
site10,2,global,7504,1876,0.6143526434898376,0.6950959488272921,0.0,0.0,0.0,0.5207014994208246,0.0732112319789289
site10,2,local,7504,1876,0.6148184537887573,0.6950959488272921,0.0,0.0,0.0,0.5207014994208246,0.0732112319789289
site10,3,global,7504,1876,0.6143587827682495,0.6950959488272921,0.0,0.0,0.0,0.5207014994208246,0.0732112319789289
site10,3,local,7504,1876,0.6146823167800903,0.6950959488272921,0.0,0.0,0.0,0.5207014994208246,0.0732112319789289
site10,4,global,7504,1876,0.6143304109573364,0.6950959488272921,0.0,0.0,0.0,0.5207014994208246,0.0732112319789289
site10,4,local,7504,1876,0.6143739223480225,0.6950959488272921,0.0,0.0,0.0,0.5207014994208246,0.0732112319789289
