site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site07,1,global,5712,1429,1.1727652549743652,1.1727652549743652,0.8695980906486511,0.0081673860549926,0.1327346101369241
site07,1,local,5712,1429,1.187862992286682,1.187862992286682,0.8742013573646545,-0.0046010017395019,0.1327346101369241
site07,2,global,5712,1429,1.174193263053894,1.174193263053894,0.8706305623054504,0.0069597363471984,0.1327346101369241
site07,2,local,5712,1429,1.1786108016967771,1.1786108016967771,0.872324526309967,0.003223717212677,0.1327346101369241
site07,3,global,5712,1429,1.1733514070510864,1.1733514070510864,0.8701626062393188,0.0076717138290405,0.1327346101369241
site07,3,local,5712,1429,1.1757729053497314,1.1757729053497314,0.8711668848991394,0.0056238174438476,0.1327346101369241
site07,4,global,5712,1429,1.1727721691131592,1.1727721691131592,0.8698426485061646,0.0081616044044494,0.1327346101369241
site07,4,local,5712,1429,1.1790330410003662,1.1790330410003662,0.8726410865783691,0.0028665661811828,0.1327346101369241
site08,0,global,6523,1631,1.450165629386902,1.450165629386902,0.9537461400032043,-0.0701762437820434,0.1721204910108354
site08,0,local,6523,1631,1.3308175802230835,1.3308175802230835,0.9113322496414183,0.0178987979888916,0.1721204910108354
site08,1,global,6523,1631,1.3357096910476685,1.3357096910476685,0.9132787585258484,0.0142886042594909,0.1721204910108354
site08,1,local,6523,1631,1.3371963500976562,1.3371963500976562,0.9136822819709778,0.0131914615631103,0.1721204910108354
site08,2,global,6523,1631,1.3347893953323364,1.3347893953323364,0.9129485487937928,0.0149677395820617,0.1721204910108354
site08,2,local,6523,1631,1.331491231918335,1.331491231918335,0.9110611081123352,0.0174017548561096,0.1721204910108354
site08,3,global,6523,1631,1.3332489728927612,1.3332489728927612,0.9124785661697388,0.016104519367218,0.1721204910108354
site08,3,local,6523,1631,1.3338372707366943,1.3338372707366943,0.9125385880470276,0.0156704187393188,0.1721204910108354
site08,4,global,6523,1631,1.334122657775879,1.334122657775879,0.9127373099327089,0.0154597759246826,0.1721204910108354
site08,4,local,6523,1631,1.3372368812561035,1.3372368812561035,0.9137647747993468,0.0131615400314331,0.1721204910108354
site09,0,global,6739,1685,1.2933638095855713,1.2933638095855713,0.9038428068161012,-0.0685137510299682,0.0352690201469616
site09,0,local,6739,1685,1.2076928615570068,1.2076928615570068,0.8731074929237366,0.0022633671760559,0.0352690201469616
site09,1,global,6739,1685,1.207737922668457,1.207737922668457,0.8731013536453247,0.0022262334823608,0.0352690201469616
site09,1,local,6739,1685,1.2069774866104126,1.2069774866104126,0.8742544054985046,0.0028544068336486,0.0352690201469616
site09,2,global,6739,1685,1.2056760787963867,1.2056760787963867,0.8726395964622498,0.0039295554161071,0.0352690201469616
site09,2,local,6739,1685,1.2066709995269775,1.2066709995269775,0.8727165460586548,0.0031075477600097,0.0352690201469616
site09,3,global,6739,1685,1.2058674097061155,1.2058674097061155,0.8726078271865845,0.0037714838981628,0.0352690201469616
site09,3,local,6739,1685,1.2044278383255005,1.2044278383255005,0.8726271390914917,0.0049607753753662,0.0352690201469616
site09,4,global,6739,1685,1.206317901611328,1.206317901611328,0.872692883014679,0.0033993124961853,0.0352690201469616
site09,4,local,6739,1685,1.207191824913025,1.207191824913025,0.8727937340736389,0.0026773214340209,0.0352690201469616
site10,0,global,7504,1876,1.2169257402420044,1.2169257402420044,0.8692144155502319,-0.0528551340103149,0.082569773232602
site10,0,local,7504,1876,1.1554803848266602,1.1554803848266602,0.8448479771614075,0.0003058910369873,0.082569773232602
site10,1,global,7504,1876,1.1532434225082395,1.1532434225082395,0.8436890840530396,0.0022412538528442,0.082569773232602
site10,1,local,7504,1876,1.1535398960113523,1.1535398960113523,0.8437422513961792,0.0019847750663757,0.082569773232602
site10,2,global,7504,1876,1.1540319919586182,1.1540319919586182,0.8439670205116272,0.0015589594841003,0.082569773232602
site10,2,local,7504,1876,1.155582308769226,1.155582308769226,0.8447504043579102,0.0002177357673645,0.082569773232602
site10,3,global,7504,1876,1.1540532112121582,1.1540532112121582,0.8440227508544922,0.0015406012535095,0.082569773232602
site10,3,local,7504,1876,1.153742790222168,1.153742790222168,0.843986988067627,0.0018092393875122,0.082569773232602
site10,4,global,7504,1876,1.1534457206726074,1.1534457206726074,0.8437060117721558,0.0020661950111389,0.082569773232602
site10,4,local,7504,1876,1.157445192337036,1.157445192337036,0.8452647924423218,-0.0013940334320068,0.082569773232602
