suite,scenario,dataset,seed,x,f
combined,clean,quadratic,5,-2.799999952316284,0.0031825620681048003
combined,clean,quadratic,5,-2.700000047683716,0.0011566812172532001
combined,clean,quadratic,5,-2.5999999046325684,-0.0046802265569567
combined,clean,quadratic,5,-2.5,-0.0105171212926506
combined,clean,quadratic,5,-2.400000095367432,-0.018740604631602698
combined,clean,quadratic,5,-2.299999952316284,-0.028108469210565003
combined,clean,quadratic,5,-2.200000047683716,-0.0374763077124952
combined,clean,quadratic,5,-2.0999999046325684,-0.046844153665006
combined,clean,quadratic,5,-2.0,-0.056211988441646
combined,clean,quadratic,5,-1.899999976158142,-0.0656677735969423
combined,clean,quadratic,5,-1.7999999523162842,-0.075170169584453
combined,clean,quadratic,5,-1.7000000476837158,-0.08467253576964129
combined,clean,quadratic,5,-1.600000023841858,-0.0941749392077326
combined,clean,quadratic,5,-1.5,-0.10490136872977009
combined,clean,quadratic,5,-1.399999976158142,-0.11616041045635929
combined,clean,quadratic,5,-1.2999999523162842,-0.1220183176919817
combined,clean,quadratic,5,-1.2000000476837158,-0.12561967503279442
combined,clean,quadratic,5,-1.100000023841858,-0.126922289840877
combined,clean,quadratic,5,-1.0,-0.1259718937799334
combined,clean,quadratic,5,-0.8999999761581421,-0.1250215126201509
combined,clean,quadratic,5,-0.800000011920929,-0.1240711165592073
combined,clean,quadratic,5,-0.699999988079071,-0.12312073539942489
combined,clean,quadratic,5,-0.6000000238418579,-0.1222470952197908
combined,clean,quadratic,5,-0.5,-0.12114934157580128
combined,clean,quadratic,5,-0.4000000059604645,-0.11915884446352709
combined,clean,quadratic,5,-0.3000000119209289,-0.1167825711891054
combined,clean,quadratic,5,-0.2000000029802322,-0.0888843489810823
combined,clean,quadratic,5,-0.1000000014901161,-0.0429478539153932
combined,clean,quadratic,5,0.0,0.0
combined,clean,quadratic,5,0.1000000014901161,0.0382088283076883
combined,clean,quadratic,5,0.2000000029802322,0.0710346745327115
combined,clean,quadratic,5,0.3000000119209289,0.1038605170324445
combined,clean,quadratic,5,0.4000000059604645,0.1419396745041013
combined,clean,quadratic,5,0.5,0.18412681389600039
combined,clean,quadratic,5,0.6000000238418579,0.23158842790871859
combined,clean,quadratic,5,0.699999988079071,0.2918191896751523
combined,clean,quadratic,5,0.800000011920929,0.35012227762490516
combined,clean,quadratic,5,0.8999999761581421,0.409392331726849
combined,clean,quadratic,5,1.0,0.4761951016262173
combined,clean,quadratic,5,1.100000023841858,0.5449627684429289
combined,clean,quadratic,5,1.2000000476837158,0.6127405213192106
combined,clean,quadratic,5,1.2999999523162842,0.6796428011730314
combined,clean,quadratic,5,1.399999976158142,0.7586938189342619
combined,clean,quadratic,5,1.5,0.841622536070645
combined,clean,quadratic,5,1.600000023841858,0.9245513128116728
combined,clean,quadratic,5,1.7000000476837158,1.0148812578991053
combined,clean,quadratic,5,1.7999999523162842,1.106144075281918
combined,clean,quadratic,5,1.899999976158142,1.1903262184932828
