site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2,xhat_sd
site04,3,global,3644,912,1.1504387855529783,1.1504387855529783,0.8484839797019958,0.1635093092918396,0.080704962135807,0.2982235848903656
site04,3,local,3644,912,1.151276707649231,1.151276707649231,0.8507081866264343,0.1629000902175903,0.080704962135807,0.2982235848903656
site04,4,global,3644,912,1.1482666730880735,1.1482666730880735,0.8490842580795288,0.1650886535644531,0.080704962135807,0.2982235848903656
site04,4,local,3644,912,1.1466747522354126,1.1466747522354126,0.8482816815376282,0.166246235370636,0.080704962135807,0.2982235848903656
site04,5,global,3644,912,1.1495366096496582,1.1495366096496582,0.8500198721885681,0.1641652584075927,0.080704962135807,0.2982235848903656
site05,0,global,3704,927,1.2679387331008911,1.2679387331008911,0.9036220908164978,0.0533862709999084,0.048591688837573,0.2728365957736969
site05,0,local,3704,927,1.1233975887298584,1.1233975887298584,0.8476954698562622,0.16129732131958,0.048591688837573,0.2728365957736969
site05,1,global,3704,927,1.1129525899887085,1.1129525899887085,0.8412588238716125,0.1690953373908996,0.048591688837573,0.2728365957736969
site05,1,local,3704,927,1.111364245414734,1.111364245414734,0.8393591642379761,0.170281171798706,0.048591688837573,0.2728365957736969
site05,2,global,3704,927,1.108121395111084,1.108121395111084,0.8385640978813171,0.1727021932601928,0.048591688837573,0.2728365957736969
site05,2,local,3704,927,1.1097968816757202,1.1097968816757202,0.8398744463920593,0.1714512705802917,0.048591688837573,0.2728365957736969
site05,3,global,3704,927,1.1051490306854248,1.1051490306854248,0.8376227021217346,0.1749212741851806,0.048591688837573,0.2728365957736969
site05,3,local,3704,927,1.109278917312622,1.109278917312622,0.8400918245315552,0.1718379855155944,0.048591688837573,0.2728365957736969
site05,4,global,3704,927,1.1024357080459597,1.1024357080459597,0.8370703458786011,0.1769469380378723,0.048591688837573,0.2728365957736969
site05,4,local,3704,927,1.1059178113937378,1.1059178113937378,0.8373293280601501,0.1743473410606384,0.048591688837573,0.2728365957736969
site05,5,global,3704,927,1.1023272275924685,1.1023272275924685,0.8364923000335693,0.177027940750122,0.048591688837573,0.2728365957736969
site06,0,global,4503,1126,1.3832902908325195,1.3832902908325195,0.93152117729187,0.043016493320465,0.0426912030400241,0.2053330838680267
site06,0,local,4503,1126,1.2414034605026243,1.2414034605026243,0.8995081186294556,0.141176164150238,0.0426912030400241,0.2053330838680267
site06,1,global,4503,1126,1.2344218492507937,1.2344218492507937,0.891994833946228,0.146006166934967,0.0426912030400241,0.2053330838680267
site06,1,local,4503,1126,1.235853910446167,1.235853910446167,0.8956575393676758,0.1450154185295105,0.0426912030400241,0.2053330838680267
site06,2,global,4503,1126,1.2296642065048218,1.2296642065048218,0.8916900157928467,0.1492975354194641,0.0426912030400241,0.2053330838680267
site06,2,local,4503,1126,1.2417049407958984,1.2417049407958984,0.901672661304474,0.1409675478935241,0.0426912030400241,0.2053330838680267
site06,3,global,4503,1126,1.227033615112305,1.227033615112305,0.8916574716567993,0.1511174440383911,0.0426912030400241,0.2053330838680267
site06,3,local,4503,1126,1.2376534938812256,1.2376534938812256,0.8965299129486084,0.1437703967094421,0.0426912030400241,0.2053330838680267
site06,4,global,4503,1126,1.2268517017364502,1.2268517017364502,0.8910884261131287,0.1512432694435119,0.0426912030400241,0.2053330838680267
site06,4,local,4503,1126,1.2353421449661257,1.2353421449661257,0.8928177952766418,0.1453694701194763,0.0426912030400241,0.2053330838680267
site06,5,global,4503,1126,1.227442979812622,1.227442979812622,0.890150785446167,0.1508342623710632,0.0426912030400241,0.2053330838680267
site07,0,global,5712,1429,1.1989706754684448,1.1989706754684448,0.8697087168693542,-0.0139950513839721,0.1327346101369243,0.369501531124115
site07,0,local,5712,1429,1.071662664413452,1.071662664413452,0.8271605968475342,0.093671977519989,0.1327346101369243,0.369501531124115
site07,1,global,5712,1429,1.0692566633224487,1.0692566633224487,0.826328694820404,0.095706820487976,0.1327346101369243,0.369501531124115
site07,1,local,5712,1429,1.049661636352539,1.049661636352539,0.8197519779205322,0.1122788190841674,0.1327346101369243,0.369501531124115
site07,2,global,5712,1429,1.061487913131714,1.061487913131714,0.8238071203231812,0.1022770404815673,0.1327346101369243,0.369501531124115
site07,2,local,5712,1429,1.0479665994644165,1.0479665994644165,0.8180878758430481,0.1137122511863708,0.1327346101369243,0.369501531124115
site07,3,global,5712,1429,1.052640080451965,1.052640080451965,0.8203336000442505,0.1097598671913147,0.1327346101369243,0.369501531124115
site07,3,local,5712,1429,1.0554479360580444,1.0554479360580444,0.8207688331604004,0.1073851585388183,0.1327346101369243,0.369501531124115
site07,4,global,5712,1429,1.0484927892684937,1.0484927892684937,0.8187077045440674,0.1132672429084777,0.1327346101369243,0.369501531124115
site07,4,local,5712,1429,1.0672558546066284,1.0672558546066284,0.8262200355529785,0.0973989367485046,0.1327346101369243,0.369501531124115
site07,5,global,5712,1429,1.0496225357055664,1.0496225357055664,0.8184219002723694,0.112311840057373,0.1327346101369243,0.369501531124115
