site,round,stage,n_train,n_test,loss,mse,mae,r2
site07,1,local,5712,1429,1.0514191389083862,1.0514191389083862,0.8212019205093384,0.110792338848114
site07,2,global,5712,1429,1.0500221252441406,1.0500221252441406,0.820033848285675,0.1119739413261413
site07,2,local,5712,1429,1.0404891967773438,1.0404891967773438,0.8173526525497437,0.1200361251831054
site07,3,global,5712,1429,1.045522928237915,1.045522928237915,0.8173943161964417,0.1157789826393127
site07,3,local,5712,1429,1.0395593643188477,1.0395593643188477,0.8156176209449768,0.1208224892616272
site07,4,global,5712,1429,1.0412801504135132,1.0412801504135132,0.8163425922393799,0.119367241859436
site07,4,local,5712,1429,1.041399359703064,1.041399359703064,0.816647469997406,0.119266390800476
site08,0,global,6523,1631,1.4079471826553345,1.4079471826553345,0.9374684691429138,-0.039020299911499
site08,0,local,6523,1631,1.1454766988754272,1.1454766988754272,0.8495776653289795,0.1546745300292968
site08,1,global,6523,1631,1.1531426906585691,1.1531426906585691,0.852621853351593,0.1490172743797302
site08,1,local,6523,1631,1.149810552597046,1.149810552597046,0.850585401058197,0.1514762639999389
site08,2,global,6523,1631,1.1469321250915527,1.1469321250915527,0.8485931158065796,0.1536004543304443
site08,2,local,6523,1631,1.159193754196167,1.159193754196167,0.850924551486969,0.1445517539978027
site08,3,global,6523,1631,1.1458139419555664,1.1458139419555664,0.8492633104324341,0.1544256210327148
site08,3,local,6523,1631,1.1539450883865356,1.1539450883865356,0.8536115884780884,0.1484251618385315
site08,4,global,6523,1631,1.1484848260879517,1.1484848260879517,0.8508128523826599,0.1524545550346374
site08,4,local,6523,1631,1.148186206817627,1.148186206817627,0.8515926003456116,0.1526750326156616
site09,0,global,6739,1685,1.250130295753479,1.250130295753479,0.8911014795303345,-0.0327962636947631
site09,0,local,6739,1685,1.1050609350204468,1.1050609350204468,0.8319684863090515,0.0870528817176818
site09,1,global,6739,1685,1.0911961793899536,1.0911961793899536,0.8262453079223633,0.098507285118103
